Index,Manufacturer,Protocol Title,Question,Naive,LlamaParse,LlamaParse Multimodal,Multimodal,ChatGPT,Normalized Naive,Normalized LlamaParse,Normalized LlamaParse Multimodal,Normalized Multimodal,Normalized ChatGPT
0,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,1,1,1,1,1,1,0,0,0,0,0
1,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,2,3,1,1,1,1,1,0,0,0,0
2,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,3,2,1,1,1,1,0.5,0,0,0,0
3,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,4,1,1,1,1,1,0,0,0,0,0
4,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,5,1,1,3,1,3,0,0,1,0,1
5,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,6,1,3,3,1,3,0,1,1,0,1
6,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,7,3,3,3,3,3,1,1,1,1,1
7,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,8,1,1,1,1,1,0,0,0,0,0
8,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,9,3,3,1,3,3,1,1,0,1,1
9,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,10,1,2,1,2,2,0,0.5,0,0.5,0.5
10,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,11,3,1,3,1,3,1,0,1,0,1
11,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,12,1,1,1,1,1,0,0,0,0,0
12,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,13,3,3,3,2,3,1,1,1,0.5,1
13,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,14,1,1,1,1,1,0,0,0,0,0
14,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,15,1,1,2,3,2,0,0,0.5,1,0.5
15,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,16,3,3,3,3,3,1,1,1,1,1
16,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,17,1,1,1,1,3,0,0,0,0,1
17,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,18,1,1,1,2,2,0,0,0,0.5,0.5
18,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,19,1,1,1,1,1,0,0,0,0,0
19,Stryker,GMRS Distal Femur and Revision Baseplate Surgical Protocol,20,1,1,2,1,3,0,0,0.5,0,1
